,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,id_curso,codigo,disciplina,docente,semestre,excluido
417194,a05d2071321eb7f58128542687929cef,1,0.0,0.0,False,False,True,58,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417195,a05d2071321eb7f58128542687929cef,2,0.0,0.0,False,False,True,58,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417196,a05d2071321eb7f58128542687929cef,3,0.0,0.0,False,False,True,58,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417197,d77b331b0085b28681617e2fddb72afc,1,3.5,1.3,False,False,True,38,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417198,d77b331b0085b28681617e2fddb72afc,2,0.0,1.3,False,False,True,38,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417199,d77b331b0085b28681617e2fddb72afc,3,0.5,1.3,False,False,True,38,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417203,34eaf88a79125d3c875b7201c8a7bad9,1,5.7,1.9,False,False,True,32,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417204,34eaf88a79125d3c875b7201c8a7bad9,2,0.0,1.9,False,False,True,32,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417205,34eaf88a79125d3c875b7201c8a7bad9,3,0.0,1.9,False,False,True,32,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
867664,cef7232ea13f69cb8b0dec549e3d07b9,1,0.0,0.0,False,False,True,78,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867665,cef7232ea13f69cb8b0dec549e3d07b9,2,0.0,0.0,False,False,True,78,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867666,cef7232ea13f69cb8b0dec549e3d07b9,3,0.0,0.0,False,False,True,78,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867691,0734e63e709823a19e7acb50a793fda5,1,3.3,1.1,False,False,True,52,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867692,0734e63e709823a19e7acb50a793fda5,2,0.0,1.1,False,False,True,52,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867693,0734e63e709823a19e7acb50a793fda5,3,0.0,1.1,False,False,True,52,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867733,121c39194fe7511e5916fca0b0a7fca9,1,0.0,0.0,False,False,True,68,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867734,121c39194fe7511e5916fca0b0a7fca9,2,0.0,0.0,False,False,True,68,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867735,121c39194fe7511e5916fca0b0a7fca9,3,0.0,0.0,False,False,True,68,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867748,64b9091cfcfda2b4527f8f872feb6178,1,0.0,0.0,False,False,True,66,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867749,64b9091cfcfda2b4527f8f872feb6178,2,0.0,0.0,False,False,True,66,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867750,64b9091cfcfda2b4527f8f872feb6178,3,0.0,0.0,False,False,True,66,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867760,1250aab276fafc742cfbfc5aadd09ec7,1,7.1,2.4,False,False,True,66,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867761,1250aab276fafc742cfbfc5aadd09ec7,2,0.0,2.4,False,False,True,66,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
867762,1250aab276fafc742cfbfc5aadd09ec7,3,0.0,2.4,False,False,True,66,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,29310,49184,IMD1012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,GUSTAVO GIRAO BARRETO DA SILVA,2019.1,True
1007003,0dc1f97b61d765bfaaf695b2372a43e4,1,0.0,0.0,False,False,True,64,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007004,0dc1f97b61d765bfaaf695b2372a43e4,2,0.0,0.0,False,False,True,64,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007005,0dc1f97b61d765bfaaf695b2372a43e4,3,0.0,0.0,False,False,True,64,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007012,c3917d017645bf55e1f0907aa958e583,1,1.6,0.5,False,False,True,48,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007013,c3917d017645bf55e1f0907aa958e583,2,0.0,0.5,False,False,True,48,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007014,c3917d017645bf55e1f0907aa958e583,3,0.0,0.5,False,False,True,48,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007030,8488e52d4ca947f5504905cb261636ca,1,5.4,2.8,False,False,True,40,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007031,8488e52d4ca947f5504905cb261636ca,2,3.1,2.8,False,False,True,40,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007032,8488e52d4ca947f5504905cb261636ca,3,0.0,2.8,False,False,True,40,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007054,a80ef3d24cc1f6d4affc491f3c309522,1,0.0,0.0,False,False,True,64,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007055,a80ef3d24cc1f6d4affc491f3c309522,2,0.0,0.0,False,False,True,64,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
1007056,a80ef3d24cc1f6d4affc491f3c309522,3,0.0,0.0,False,False,True,64,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,35639,49184,DIM0133,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2019.1,True
