,id_turma,discente,unidade,nota,media_final,descricao,numero_total_faltas,disciplina,semestre
53,51700,a70215ff0d8e2621f081292f632e44b3,3,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,38,PENSAMENTO COMPUTACIONAL,2020.1
54,51700,7e6fcb53ee4051a0768c22931d123109,1,8.0,8.0,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
55,51700,7e6fcb53ee4051a0768c22931d123109,2,7.9,8.0,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
56,51700,7e6fcb53ee4051a0768c22931d123109,3,8.2,8.0,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
57,51700,bfad290f09c76d1e2fe5fd91a191c477,1,6.6,8.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
58,51700,bfad290f09c76d1e2fe5fd91a191c477,2,8.1,8.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
59,51700,bfad290f09c76d1e2fe5fd91a191c477,3,10.0,8.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
60,51700,280f4427b69ab1cda5d8f9cd0beac605,1,6.9,6.3,APROVADO POR NOTA,12,PENSAMENTO COMPUTACIONAL,2020.1
61,51700,280f4427b69ab1cda5d8f9cd0beac605,2,6.9,6.3,APROVADO POR NOTA,12,PENSAMENTO COMPUTACIONAL,2020.1
62,51700,280f4427b69ab1cda5d8f9cd0beac605,3,5.0,6.3,APROVADO POR NOTA,12,PENSAMENTO COMPUTACIONAL,2020.1
63,51700,6f21414f7f42691e9e3c951ff771351d,1,8.5,9.2,APROVADO,12,PENSAMENTO COMPUTACIONAL,2020.1
64,51700,6f21414f7f42691e9e3c951ff771351d,2,9.5,9.2,APROVADO,12,PENSAMENTO COMPUTACIONAL,2020.1
65,51700,6f21414f7f42691e9e3c951ff771351d,3,9.6,9.2,APROVADO,12,PENSAMENTO COMPUTACIONAL,2020.1
66,51700,1bf03e50245d206482d1bc2ac76ed77e,1,9.6,9.7,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
