,id_turma,discente,docente,unidade,nota,media_final,numero_total_faltas,aprovado,reposicao,reprovadoporfalta,semestre
325716,13437,0.7274685832690271,0.1111111111111111,1.0,0.0,0.53,0.0,0.0,0.0,0.0,2018.1
325717,13437,0.6419280917762639,0.1111111111111111,0.0,0.85,0.5900000000000001,0.0,1.0,0.0,0.0,2018.1
325718,13437,0.6419280917762639,0.1111111111111111,0.5,0.43,0.5900000000000001,0.0,1.0,0.0,0.0,2018.1
325719,13437,0.6419280917762639,0.1111111111111111,1.0,0.5,0.5900000000000001,0.0,1.0,0.0,0.0,2018.1
325720,13437,0.8195331392805614,0.1111111111111111,0.0,0.45,0.27999999999999997,0.0,0.0,0.0,0.0,2018.1
325721,13437,0.8195331392805614,0.1111111111111111,0.5,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,2018.1
325722,13437,0.8195331392805614,0.1111111111111111,1.0,0.4,0.27999999999999997,0.0,0.0,0.0,0.0,2018.1
325723,13437,0.5999205170044511,0.1111111111111111,0.0,0.5,0.5,0.0,1.0,0.0,0.0,2018.1
325724,13437,0.5999205170044511,0.1111111111111111,0.5,0.35,0.5,0.0,1.0,0.0,0.0,2018.1
325725,13437,0.5999205170044511,0.1111111111111111,1.0,0.65,0.5,0.0,1.0,0.0,0.0,2018.1
325726,13437,0.9472811219428227,0.1111111111111111,0.0,0.6,0.32999999999999996,0.0,0.0,0.0,0.0,2018.1
325727,13437,0.9472811219428227,0.1111111111111111,0.5,0.0,0.32999999999999996,0.0,0.0,0.0,0.0,2018.1
325728,13437,0.9472811219428227,0.1111111111111111,1.0,0.4,0.32999999999999996,0.0,0.0,0.0,0.0,2018.1
325729,13437,0.27355598952316484,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325730,13437,0.27355598952316484,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325731,13437,0.27355598952316484,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325732,13437,0.23209890467243358,0.1111111111111111,1.0,0.55,0.51,0.0,1.0,0.0,0.0,2018.1
325733,13437,0.23209890467243358,0.1111111111111111,0.0,0.0,0.51,0.0,1.0,0.0,0.0,2018.1
325734,13437,0.23209890467243358,0.1111111111111111,0.5,0.5900000000000001,0.51,0.0,1.0,0.0,0.0,2018.1
325738,13437,0.8308343900667785,0.1111111111111111,0.0,0.0,0.11000000000000001,0.0,0.0,0.0,0.0,2018.1
325739,13437,0.8308343900667785,0.1111111111111111,0.5,0.33999999999999997,0.11000000000000001,0.0,0.0,0.0,0.0,2018.1
325740,13437,0.8308343900667785,0.1111111111111111,1.0,0.0,0.11000000000000001,0.0,0.0,0.0,0.0,2018.1
325741,13437,0.46948999076674575,0.1111111111111111,1.0,0.0,0.03,0.0,0.0,0.0,0.0,2018.1
325742,13437,0.46948999076674575,0.1111111111111111,0.0,0.1,0.03,0.0,0.0,0.0,0.0,2018.1
325743,13437,0.46948999076674575,0.1111111111111111,0.5,0.0,0.03,0.0,0.0,0.0,0.0,2018.1
325747,13437,0.22604531134699068,0.1111111111111111,0.0,0.9,0.67,0.0,1.0,0.0,0.0,2018.1
325748,13437,0.22604531134699068,0.1111111111111111,0.5,0.6,0.67,0.0,1.0,0.0,0.0,2018.1
325749,13437,0.22604531134699068,0.1111111111111111,1.0,0.5,0.67,0.0,1.0,0.0,0.0,2018.1
325753,13437,0.15179793433299624,0.1111111111111111,0.0,0.8099999999999999,0.5599999999999999,0.0,1.0,0.0,0.0,2018.1
325754,13437,0.15179793433299624,0.1111111111111111,0.5,0.35,0.5599999999999999,0.0,1.0,0.0,0.0,2018.1
325755,13437,0.15179793433299624,0.1111111111111111,1.0,0.0,0.5599999999999999,0.0,1.0,0.0,0.0,2018.1
325756,13437,0.1605222630540231,0.1111111111111111,1.0,0.95,0.77,0.0,1.0,0.0,0.0,2018.1
325757,13437,0.1605222630540231,0.1111111111111111,0.0,0.65,0.77,0.0,1.0,0.0,0.0,2018.1
325758,13437,0.1605222630540231,0.1111111111111111,0.5,0.7,0.77,0.0,1.0,0.0,0.0,2018.1
325759,13437,0.6471360809760631,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325760,13437,0.6471360809760631,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325761,13437,0.6471360809760631,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
325762,13437,0.34972367554909994,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.1
