,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,id_curso,codigo,disciplina,docente,semestre,excluido
278966,a70e6e000686d82ad1d1a29ce75fab9f,3,4.5,6.0,True,False,False,12,APROVADO POR NOTA,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278967,3f2ec6b2a081c6527c55ccb946e6c301,2,1.8,3.1,False,False,False,8,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278968,3f2ec6b2a081c6527c55ccb946e6c301,3,1.0,3.1,False,False,False,8,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278969,3f2ec6b2a081c6527c55ccb946e6c301,1,6.5,3.1,False,False,False,8,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278976,ce626ab32166cd593d4bfc550821a5c7,3,1.0,3.3,False,False,False,2,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278977,ce626ab32166cd593d4bfc550821a5c7,1,5.5,3.3,False,False,False,2,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278978,ce626ab32166cd593d4bfc550821a5c7,2,3.3,3.3,False,False,False,2,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278979,a4aa5cbcc579bd9b2ce70c7590ee4b04,1,6.5,7.3,True,False,False,8,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278980,a4aa5cbcc579bd9b2ce70c7590ee4b04,2,7.0,7.3,True,False,False,8,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278981,a4aa5cbcc579bd9b2ce70c7590ee4b04,3,8.3,7.3,True,False,False,8,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278982,55f5a9ca42b3b65701d611e5d965101c,1,2.0,1.6,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278983,55f5a9ca42b3b65701d611e5d965101c,2,1.8,1.6,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278984,55f5a9ca42b3b65701d611e5d965101c,3,1.0,1.6,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278991,4864359154607735f2e5f11acc205c4f,3,1.0,1.4,False,False,False,18,REPROVADO,GRADUAÇÃO,38286,23148,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278992,4864359154607735f2e5f11acc205c4f,1,1.6,1.4,False,False,False,18,REPROVADO,GRADUAÇÃO,38286,23148,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278993,4864359154607735f2e5f11acc205c4f,2,1.5,1.4,False,False,False,18,REPROVADO,GRADUAÇÃO,38286,23148,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278994,0a644c14adb8b36ebd5b2d9bdce95138,3,10.0,9.3,True,False,False,10,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278995,0a644c14adb8b36ebd5b2d9bdce95138,1,9.5,9.3,True,False,False,10,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278996,0a644c14adb8b36ebd5b2d9bdce95138,2,8.3,9.3,True,False,False,10,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279000,2bebbda0ca273a4be74009d7699de55f,1,7.5,7.3,True,False,False,4,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279001,2bebbda0ca273a4be74009d7699de55f,2,9.0,7.3,True,False,False,4,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279002,2bebbda0ca273a4be74009d7699de55f,3,5.5,7.3,True,False,False,4,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279003,a1dc8d33f283c91ae47a7fe7d49d34a6,1,1.5,0.5,False,False,False,14,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
279004,a1dc8d33f283c91ae47a7fe7d49d34a6,2,0.0,0.5,False,False,False,14,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
